committee,lawmaker,role
senate-committee-on-committees,"Glimm, Carl",chair
senate-committee-on-committees,"Noland, Mark",member
senate-committee-on-committees,"Lenz, Dennis",member
senate-committee-on-committees,"Zolnikov, Daniel",member
senate-committee-on-committees,"Ricci, Vince",member
senate-committee-on-committees,"Galt, Wylie",member
senate-rules,"Lenz, Dennis",member
senate-rules,"Hertz, Greg",member
senate-rules,"Mandeville, Forrest",vice-chair
senate-rules,"Noland, Mark",member
senate-rules,"Emrich, Daniel",member
senate-rules,"Glimm, Carl",member
senate-rules,"McKamey, Wendy",member
senate-rules,"Flowers, Pat",member
senate-rules,"Usher, Barry",member
senate-rules,"Boldman, Ellie",member
senate-rules,"Morigeau, Shane",member
senate-rules,"Esp, John",member
senate-rules,"Ellis, Janet",member
senate-rules,"Harvey, Derek",member
senate-rules,"Smith, Laura",vice-chair
senate-rules,"Galt, Wylie",member
senate-rules,"McGillvray, Tom",chair
senate-rules,"Ellsworth, Jason",member
senate-rules,"Lammers, Gayle ",member
senate-rules,"Kassmier, Josh",member
senate-rules,"Neumann, Cora",member
house-agriculture,"Mitchell, Braxton",chair
house-agriculture,"Baum, Denise",member
house-agriculture,"Kmetz, Greg",member
house-agriculture,"Oblander, Greg",member
house-agriculture,"Romano, Melissa",member
house-agriculture,"Smith, Frank",member
house-agriculture,"Wirth, Zack",member
house-agriculture,"Griffith, Alanah",member
house-agriculture,"Lynch, Jennifer",member
house-agriculture,"Klakken, Shane",member
house-agriculture,"Nikolakakos, Melissa",member
house-agriculture,"Thiel, Morgan",member
house-agriculture,"Darling, Julie",member
house-agriculture,"Tilleman, Eric",member
house-agriculture,"Thane, Mark",member
house-agriculture,"Carter, Bob",vice-chair
house-agriculture,"Miner, Russ",vice-chair
house-appropriations,"Jones, Llew",chair
house-appropriations,"Albus, Eric",member
house-appropriations,"Keogh, Connie",member
house-appropriations,"Tuss, Paul",member
house-appropriations,"Hawk, Donavon",member
house-appropriations,"Falk, Terry",member
house-appropriations,"Powers, Debo",member
house-appropriations,"Fitzpatrick, John",member
house-appropriations,"Gillette, Jane",member
house-appropriations,"Barker, Brad",member
house-appropriations,"Vinton, Mike",member
