billNumber,billType,title,status
56,House Bill,Establish ambulance provider assessment fee program,Passed
60,House Bill,Generally revise state auditor laws,Passed
86,House Bill,Generally revise beer wholesaler and table wine laws,Passed
92,House Bill,Generally revise laws related to alcohol regulation,Passed
118,House Bill,Revise the Montana interstate compact on educational opportunities for military children,Passed
141,House Bill,Revise laws relating to raffles conducted by certain nonprofit entities to allow credit cards,Passed
218,House Bill,Revising the practice of optometry to include certain laser procedures and in-office surgical procedures,Passed
245,House Bill,Revise the Montana HELP Act workforce development provisions and termination date,Passed
246,House Bill,Provide for standardization of substantial equivalency determinations in professional licensing,Passed
341,House Bill,Revise laws relating to brain injuries,Passed
367,House Bill,Revise workers' compensation laws relating to travel and reimbursement,Passed
381,House Bill,"Provide for educational credit for students volunteering in long term care, nursing home, home care, and child care settings",Passed
438,House Bill,"Establishing a board of physical, rehabilitative, and developmental healthcare professionals",Passed
447,House Bill,Enact the Respiratory Care Interstate Compact,Passed
496,House Bill,Amend laws related to the retrocession of jurisdiction over federal lands,Passed
543,House Bill,Repeal termination date on reporting and disclosure of violence against health care employees,Passed
544,House Bill,Generally revise health insurance laws relating to health utilization review,Passed
583,House Bill,Revise laws relating to the state lottery and review authority,Failed
584,House Bill,Revising laws related to dental anesthesia inspections,Passed
585,House Bill,"Revise provider rate laws for physical therapists, speech-language pathologists, and occupational therapists",Failed
667,House Bill,Revise labor laws relating to employers and public service,Passed
668,House Bill,Revising alcohol law to prohibit certain licensees from offering gambling,Passed
787,House Bill,Generally revise gaming laws,Failed
850,House Bill,Provide licensing and regulation of community health workers,Passed
882,House Bill,Generally revise alcohol laws,Passed
953,House Bill,Revise medicaid laws related to direct primary care,Passed
