billNumber,billType,title,status
1,House Resolution,House rules resolution,Passed
17,House Joint Resolution,Resolution regarding energy,Passed
109,House Bill,Revise professional licensing laws to correct errata,Passed
110,House Bill,Revise legislative services requirements to provide certain printed session information,Passed
111,House Bill,Adopt Uniform Electronic Legal Material Act,Passed
112,House Bill,Code commissioner bill,Passed
113,House Bill,Revise resident preferences for public contracts and contract term limits,Failed
114,House Bill,Generally revise consumer protection laws,Passed
115,House Bill,Revise Montana code annotated publishing laws related to code commissioner duties,Passed
135,House Bill,Create statutes of repose for claims against real estate appraisers,Passed
136,House Bill,Revise property insurance laws relating to preventative measures to reduce damage,Passed
137,House Bill,Revise securities laws relating to fees paid by certain licensees,Passed
150,House Bill,Generally revise alcohol and gaming laws,Passed
210,House Bill,Revise laws relating to unemployment insurance program collection rates and uses,Passed
323,House Bill,Allow counties to pay reserve deputy sheriff's officers,Passed
324,House Bill,Revise voluntary payment laws to include all claims,Passed
325,House Bill,Revise covenant laws,Passed
365,House Bill,Revise laws relating to attorney fees and costs based on legislative conduct,Passed
409,House Bill,Revise injunction laws,Passed
463,House Bill,Revise business laws relating to conversion of certain business entities,Passed
464,House Bill,Revise insurance laws relating to interest of a named insured and change of interest by transfer on death,Passed
465,House Bill,Generally revise lien laws and foreclosure,Failed
529,House Bill,Revise laws related to enforcement of liens,Failed
530,House Bill,Generally revise business laws,Passed
531,House Bill,Revise laws related to legislative rules,Passed
563,House Bill,Revise laws related to filing and participation in licensing complaint investigations,Passed
629,House Bill,Revise laws related to a proposed subdivision's connection to a public water supply or wastewater system,Passed
684,House Bill,Eliminate deadline for water quality data review,Passed
685,House Bill,Feasibility allowance for nondegradation policy,Passed
735,House Bill,Generally revising alcohol laws,Passed
736,House Bill,Provide nutrient pollutant loading offsets,Passed
804,House Bill,Revise laws for lobbyist payment threshold,Passed
856,House Bill,Revise incumbent vacancy in office laws,Failed
871,House Bill,Revise requirements to connect to municipal water/sewer system,Failed
872,House Bill,Revise licensing laws,Passed
954,House Bill,Extend PL280 termination date,Passed
