billNumber,billType,title,status
2,House Joint Resolution,Revenue estimating resolution,Failed
16,House Bill,Revise infrastructure loan program and tax credit,Passed
19,House Bill,Require public hearing before certain tax increment financing bonding,Passed
20,House Bill,Require voted levies to be in dollars rather than mills,Passed
21,House Bill,Establish a Montana workforce housing tax credit,Failed
34,House Bill,Revise law to establish permanent disaster resilience fund,Failed
122,House Bill,Revise right-of-way laws,Passed
318,House Bill,Require appeal process for certain local government health requirements,Passed
363,House Bill,Generally revise laws relating to selection of public service commissioners,Failed
379,House Bill,Revising laws related to state land leases for commercial purposes and the sale of state land.,Failed
394,House Bill,Revise local government public notice and resolution requirements,Passed
520,House Bill,Revise laws to clarify that local prohibitions on conveying family transfer parcels do not apply to conveyances involving lenders,Passed
695,House Bill,Establish pole attachment rules and enforcement,Failed
713,House Bill,Revise municipal zoning laws,Passed
714,House Bill,Revise laws for divisions of land exempt from subdivision review,Passed
858,House Bill,Revise coal severance tax coal washing credit,Failed
