billNumber,billType,title,status
10,Senate Bill,Extending onsite inspection timelines during state of emergency,Passed
11,Senate Bill,Revise local government ballot issue laws,Passed
42,Senate Joint Resolution,Interim study of noxious weed control,Passed
47,Senate Joint Resolution,Study resolution on the creation or alteration of local government entities,Failed
48,Senate Resolution,Confirm governor's appointee for board of real estate appraisers,Passed
91,Senate Resolution,Confirm governor's appointees for the board of housing,Passed
121,Senate Bill,Revise the land use and planning act,Passed
122,Senate Bill,Revising the actuarially determined employer contribution rate and setting a minimum contribution rate,Failed
123,Senate Bill,Allowing emergency permitting authority during an emergency,Failed
141,Senate Bill,Providing that the default retirement plan for legislators is the defined contribution plan through PERS,Failed
142,Senate Bill,Revise laws related to election administrator compensation,Failed
174,Senate Bill,Providing that recreational vehicles and mobile homes are reviewed as buildings for rent or lease,Passed
175,Senate Bill,Allowing for streamlined public hearing notice process when revising zoning,Passed
179,Senate Bill,Allow antique gambling to be used for living history events and casino nights for fundraising purposes,Failed
239,Senate Bill,Requiring judges to invite amicus briefing and allow intervention in certain civil cases,Failed
240,Senate Bill,Revise laws related to equality in financial services,Failed
262,Senate Bill,"Exempt subdivision, water/sewer plans from environmental review",Passed
275,Senate Bill,Allow revocation of agricultural covenant on lands annexed into municipality,Passed
329,Senate Bill,Require employers to use e-verify for employment eligibility,Failed
532,Senate Bill,Revise county zoning to allow accessory dwelling units,Passed
551,Senate Bill,Revise fantasy sports laws,Failed
