billNumber,billType,title,status
4,Senate Resolution,Senate resolution to support United States constitutional amendment for campaign finance limits,Failed
14,Senate Resolution,Resolution to include Montana in the radiation exposure compensation act,Passed
19,Senate Joint Resolution,Joint resolution to study public transportation,Failed
23,Senate Joint Resolution,Interim study on market-sensitive crops and ag technology,Failed
46,Senate Joint Resolution,Interim study of food security and agricultural prosperity,Failed
290,Senate Bill,"Revising insurance laws regarding uninsured, underinsured motorists",Failed
291,Senate Bill,Revising laws related to workers' compensation definition of wages,Failed
292,Senate Bill,Revise laws related to increasing product liability protection for consumers relating to economic harm,Failed
293,Senate Bill,Revising claimants' ability to receive insurance information,Failed
294,Senate Bill,Requiring public utilities to report a plan for 100% renewables,Failed
295,Senate Bill,Restoring the right for injured worker to choose their own doctor.,Failed
531,Senate Bill,Provide tax credit for purchase of a firearm safe,Failed
541,Senate Bill,Create a pollinator health task force,Failed
