billPassed,billFailed
SB 511,SJ 30
SB 514,SJ 31
SB 516,SJ 32
SB 518,SJ 34
SB 520,SJ 38
SB 524,SJ 39
SB 532,SJ 40
SB 534,SJ 41
SB 535,SJ 43
SB 542,SJ 44
SB 544,SJ 45
SB 545,SJ 46
SB 550,SJ 47
SB 552,SJ 50
SB 553,SR 1
SB 555,SR 4
SB 560,SR 18
SB 564,SR 68
SJ 1,
SJ 3,
SJ 5,
SJ 6,
SJ 7,
SJ 8,
SJ 9,
SJ 10,
SJ 11,
SJ 12,
SJ 13,
SJ 16,
SJ 18,
SJ 19,
SJ 20,
SJ 21,
SJ 25,
SJ 26,
SJ 27,
SJ 28,
SJ 29,
SJ 33,
SJ 35,
SJ 36,
SJ 37,
SJ 42,
SJ 48,
SJ 49,
SR 5,
SR 6,
SR 7,
SR 8,
SR 9,
SR 10,
SR 11,
SR 12,
SR 13,
SR 14,
SR 15,
SR 16,
SR 17,
SR 19,
SR 20,
SR 21,
SR 22,
SR 23,
SR 24,
SR 25,
SR 26,
SR 27,
SR 28,
SR 29,
SR 30,
SR 31,
SR 32,
SR 33,
SR 34,
SR 35,
SR 36,
SR 37,
SR 38,
SR 39,
SR 40,
SR 41,
SR 42,
SR 43,
SR 44,
SR 45,
SR 46,
SR 47,
SR 48,
SR 49,
SR 50,
SR 51,
SR 52,
SR 53,
SR 54,
SR 55,
SR 56,
SR 57,
SR 58,
SR 59,
SR 60,
SR 61,
SR 62,
SR 63,
SR 64,
SR 65,
SR 66,
SR 67,
SR 69,
SR 70,
SR 71,
SR 72,
SR 73,
SR 74,
SR 75,
SR 76,
SR 77,
SR 78,
SR 79,
SR 80,
SR 81,
SR 82,
SR 83,
SR 84,
SR 85,
SR 86,
SR 87,
SR 88,
SR 89,
SR 90,
SR 91,
SR 92,
SR 93,
SR 94,
SR 95,
SR 96,
SR 97,
SR 98,
SR 99,
SR 100,
SR 101,
SR 102,
SR 103,
SR 104,
SR 105,
SR 106,
SR 107,
SR 108,
SR 109,
SR 110,
SR 111,
