metric,value
averagePass,49.54
overallPassRate,53.78
averagePassRepublicans,56.48
overallPassRateRepublicans,59.27
averagePassDemocrats,38.4
overallPassRateDemocrats,34.45
averagePassHouse,50.87
overallPassRateHouse,53.38
averagePassSenate,46.83
overallPassRateSenate,54.36
averagePassHouserepublicans,56.99
overallPassRateHouserepublicans,58.74
averagePassHousedemocrats,42.0
overallPassRateHousedemocrats,35.68
averagePassSenaterepublicans,55.55
overallPassRateSenaterepublicans,60.0
averagePassSenatedemocrats,29.38
overallPassRateSenatedemocrats,32.43
