sponsor,party,chamber,district,billsSponsored,billsPassed,billsFailed,passPercentage
Greg Hertz,Republican,SENATE,SENATE DISTRICT 7,59,24,35,40.68
Dennis Lenz,Republican,SENATE,SENATE DISTRICT 25,48,25,23,52.08
Bill Mercer,Republican,HOUSE,HOUSE DISTRICT 52,39,17,22,43.59
Daniel Zolnikov,Republican,SENATE,SENATE DISTRICT 22,38,19,19,50.0
Mark Noland,Republican,SENATE,SENATE DISTRICT 6,38,30,8,78.95
Barry Usher,Republican,SENATE,SENATE DISTRICT 19,37,22,15,59.46
Steve Fitzpatrick,Republican,HOUSE,HOUSE DISTRICT 24,36,26,10,72.22
Daniel Emrich,Republican,SENATE,SENATE DISTRICT 11,36,8,28,22.22
Lukas Schubert,Republican,HOUSE,HOUSE DISTRICT 8,34,3,31,8.82
Ed Buttrey,Republican,HOUSE,HOUSE DISTRICT 21,26,15,11,57.69
John Fitzpatrick,Republican,HOUSE,HOUSE DISTRICT 76,26,7,19,26.92
Jeremy Trebas,Republican,SENATE,SENATE DISTRICT 10,25,7,18,28.0
Kerri Seekins-Crowe,Republican,HOUSE,HOUSE DISTRICT 39,24,6,18,25.0
Braxton Mitchell,Republican,HOUSE,HOUSE DISTRICT 5,22,16,6,72.73
Mike Yakawich,Republican,SENATE,SENATE DISTRICT 24,22,13,9,59.09
Wylie Galt,Republican,SENATE,SENATE DISTRICT 39,21,9,12,42.86
Forrest Mandeville,Republican,SENATE,SENATE DISTRICT 28,21,8,13,38.1
Randyn Gregg,Republican,HOUSE,HOUSE DISTRICT 78,21,8,13,38.1
Curtis Schomer,Republican,HOUSE,HOUSE DISTRICT 48,21,12,9,57.14
Julie Darling,Republican,HOUSE,HOUSE DISTRICT 84,21,16,5,76.19
John Fuller,Republican,SENATE,SENATE DISTRICT 4,21,12,9,57.14
Theresa Manzella,Republican,SENATE,SENATE DISTRICT 44,20,8,12,40.0
Jodee Etchart,Republican,HOUSE,HOUSE DISTRICT 51,20,10,10,50.0
Kenneth Bogner,Republican,SENATE,SENATE DISTRICT 18,19,7,12,36.84
Ken Walsh,Republican,HOUSE,HOUSE DISTRICT 69,19,8,11,42.11
Nelly Nicol,Republican,HOUSE,HOUSE DISTRICT 53,19,4,15,21.05
David Bedey,Republican,HOUSE,HOUSE DISTRICT 86,19,11,8,57.89
Greg Oblander,Republican,HOUSE,HOUSE DISTRICT 38,18,7,11,38.89
Jedediah Hinkle,Republican,HOUSE,HOUSE DISTRICT 67,17,8,9,47.06
Ed Stafman,Democrat,HOUSE,HOUSE DISTRICT 59,17,0,17,0.0
Denley Loge,Republican,SENATE,SENATE DISTRICT 45,17,13,4,76.47
Brad Barker,Republican,HOUSE,HOUSE DISTRICT 55,17,7,10,41.18
Steve Gist,Republican,HOUSE,HOUSE DISTRICT 25,17,7,10,41.18
Gary Parry,Republican,HOUSE,HOUSE DISTRICT 35,17,7,10,41.18
Ellie Boldman,Democrat,SENATE,SENATE DISTRICT 47,16,2,14,12.5
Greg Overstreet,Republican,HOUSE,HOUSE DISTRICT 88,16,9,7,56.25
Willis Curdy,Democrat,SENATE,SENATE DISTRICT 49,16,7,9,43.75
Larry Brewster,Republican,HOUSE,HOUSE DISTRICT 43,16,9,7,56.25
Dave Fern,Democrat,SENATE,SENATE DISTRICT 2,15,6,9,40.0
Katie Zolnikov,Republican,HOUSE,HOUSE DISTRICT 44,15,9,6,60.0
Courtenay Sprunger,Republican,HOUSE,HOUSE DISTRICT 7,15,8,7,53.33
Jane Gillette,Republican,HOUSE,HOUSE DISTRICT 77,15,7,8,46.67
Josh Kassmier,Republican,SENATE,SENATE DISTRICT 13,15,5,10,33.33
Eric Tilleman,Republican,HOUSE,HOUSE DISTRICT 23,15,9,6,60.0
Wendy McKamey,Republican,SENATE,SENATE DISTRICT 12,14,8,6,57.14
Tom Millett,Republican,HOUSE,HOUSE DISTRICT 2,14,4,10,28.57
Mary Caferro,Democrat,HOUSE,HOUSE DISTRICT 81,14,0,14,0.0
Tom McGillvray,Republican,SENATE,SENATE DISTRICT 26,14,5,9,35.71
Laura Smith,Democrat,SENATE,SENATE DISTRICT 40,14,3,11,21.43
George Nikolakakos,Republican,HOUSE,HOUSE DISTRICT 22,14,3,11,21.43
